2026-02-12T13:44:18.713 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= Hide receiverClass= QToolButton receiverObjectName= qt_menubar_ext_button accepted= true
2026-02-12T13:44:18.714 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(27) receiverClass= QToolButton receiverObjectName= qt_menubar_ext_button accepted= true
2026-02-12T13:44:18.714 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(100) receiverClass= QWidget receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.714 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(68) receiverClass= QMenuBar receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.714 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(21) receiverClass= QWidget receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.714 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(15) receiverClass= QWidget receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.714 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(68) receiverClass= QMenu receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.714 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(113) receiverClass= QAction receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.715 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(109) receiverClass= QMenu receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.715 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(113) receiverClass= QAction receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.715 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(114) receiverClass= QMenuBar receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.715 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(68) receiverClass= QMenu receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.715 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(114) receiverClass= QMenu receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.715 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(113) receiverClass= QAction receiverObjectName= <unnamed> accepted= true
2026-02-12T13:44:18.715 [DEBUG] [tid=0x1f807e240] [onecad.ui.events] [/Users/andrejvysny/andrejvysny/OneCAD/src/main.cpp:98] [virtual bool (anonymous namespace)::UserActionEventFilter::eventFilter(QObject *, QEvent *)] ui_event type= EventType(113) receiverClass= QMenu receiverObjectName= <unnamed> accepted= true
